Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADTN,ADTRAN Inc. Common Stock,$17.975,-0.485,-2.627%,871513273.00,United States,1994,76476,Public Utilities,Telecommunications Equipment
AKTS,Akoustis Technologies Inc. Common Stock,$11.2701,-0.5799,-4.894%,532436422.00,United States,,341532,Public Utilities,Telecommunications Equipment
ALTM,Altus Midstream Company Class A Common Stock,$53.50,-0.31,-0.576%,869185610.00,United States,2017,12171,Public Utilities,Natural Gas Distribution
AROC,Archrock Inc. Common Stock,$9.375,-0.025,-0.266%,1432387959.00,United States,,248890,Public Utilities,Natural Gas Distribution
ARTNA,Artesian Resources Corporation Class A Common Stock,$40.53,-0.91,-2.196%,379408706.00,United States,,5413,Public Utilities,Water Supply
ATEX,Anterix Inc. Common Stock,$47.15,0.26,0.554%,829196685.00,United States,2015,51880,Public Utilities,Telecommunications Equipment
ATNI,ATN International Inc. Common Stock,$50.09,0.07,0.14%,796354713.00,United States,,10646,Public Utilities,Telecommunications Equipment
CBB,Cincinnati Bell Inc. Common Stock,$15.41,-0.01,-0.065%,784501310.00,United States,,69238,Public Utilities,Telecommunications Equipment
CDZI,CADIZ Inc. Common Stock,$10.265,-0.205,-1.958%,393590402.00,United States,,120407,Public Utilities,Water Supply
CEQP,Crestwood Equity Partners LP,$27.83,0.11,0.397%,1747912882.00,United States,,243320,Public Utilities,Oil & Gas Production
CLFD,Clearfield Inc. Common Stock,$29.57,-0.35,-1.17%,405934180.00,United States,,71278,Public Utilities,Telecommunications Equipment
CNSL,Consolidated Communications Holdings Inc. Common Stock,$6.92,0.11,1.615%,548154652.00,United States,2005,208882,Public Utilities,Telecommunications Equipment
DZSI,DZS Inc. Common Stock,$14.59,-0.57,-3.76%,392227026.00,United States,,37500,Public Utilities,Telecommunications Equipment
ECOL,US Ecology Inc Common Stock,$42.00,-0.37,-0.873%,1310608068.00,United States,,120711,Public Utilities,Environmental Services
GWRS,Global Water Resources Inc. Common Stock,$17.3148,-0.3152,-1.788%,391106633.00,United States,2016,9261,Public Utilities,Water Supply
IDT,IDT Corporation Class B Common Stock,$23.00,0.36,1.59%,591682889.00,United States,,69020,Public Utilities,Telecommunications Equipment
INFN,Infinera Corporation Common Stock,$9.5881,-0.2919,-2.954%,1963735616.00,United States,2007,882679,Public Utilities,Telecommunications Equipment
MNTK,Montauk Renewables Inc. Common Stock,$9.49,-0.82,-7.953%,1349077854.00,United States,2021,111020,Public Utilities,Natural Gas Distribution
MSEX,Middlesex Water Company Common Stock,$82.35,-0.58,-0.699%,1439321370.00,United States,,13891,Public Utilities,Water Supply
NTGR,NETGEAR Inc. Common Stock,$38.40,-0.87,-2.215%,1181102400.00,United States,2003,219207,Public Utilities,Telecommunications Equipment
NWN,Northwest Natural Holding Company Common Stock,$55.22,-0.26,-0.469%,1692779537.00,United States,,50394,Public Utilities,Oil/Gas Transmission
OTTR,Otter Tail Corporation Common Stock,$47.33,-0.15,-0.316%,1964689835.00,United States,,23237,Public Utilities,Electric Utilities: Central
PCYO,Pure Cycle Corporation Common Stock,$16.31,-0.13,-0.791%,389901054.00,United States,,51760,Public Utilities,Water Supply
PLT,Plantronics Inc. Common Stock,$37.24,-2.33,-5.888%,1536614904.00,United States,1994,211745,Public Utilities,Telecommunications Equipment
RTLR,Rattler Midstream LP Common Units,$10.87,0.02,0.184%,1624273436.00,United States,2019,43323,Public Utilities,Natural Gas Distribution
SJW,SJW Group Common Stock (DE),$67.39,-0.43,-0.634%,1997051973.00,United States,,24397,Public Utilities,Water Supply
SPKE,Spark Energy Inc. Class A Common Stock,$10.205,0.13,1.29%,361535433.00,United States,2014,127608,Public Utilities,Power Generation
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,$16.05,0.04,0.25%,1556790679.00,United States,2013,260655,Public Utilities,Natural Gas Distribution
UTL,UNITIL Corporation Common Stock,$49.815,-0.455,-0.905%,749067707.00,United States,,14308,Public Utilities,Power Generation
YORW,York Water Company (The) Common Stock,$50.69,-1.28,-2.463%,662186179.00,United States,,11015,Public Utilities,Water Supply
