Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$67.16,0.29,0.434%,1934056689.00,United States,,129352,Transportation,Transportation Services
ARCB,ArcBest Corporation Common Stock,$72.39,-1.76,-2.374%,1838369097.00,United States,,86927,Transportation,Trucking Freight/Courier Services
ATSG,Air Transport Services Group Inc,$29.175,-0.735,-2.457%,1769213895.00,United States,,95732,Transportation,Air Freight/Delivery Services
CVLG,Covenant Logistics Group Inc. Class A Common Stock,$20.51,-0.21,-1.014%,344568041.00,United States,,31578,Transportation,Trucking Freight/Courier Services
ECHO,Echo Global Logistics Inc. Common Stock,$32.55,-0.33,-1.004%,866094339.00,United States,2009,54986,Transportation,Oil Refining/Marketing
EGLE,Eagle Bulk Shipping Inc. Common Stock,$40.13,2.80,7.501%,499329484.00,United States,,150525,Transportation,Marine Transportation
GNK,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands),$12.50,0.75,6.383%,523905400.00,United States,,719318,Transportation,Marine Transportation
HA,Hawaiian Holdings Inc. Common Stock,$24.66,-0.36,-1.439%,1260274503.00,United States,,450223,Transportation,Air Freight/Delivery Services
HTLD,Heartland Express Inc. Common Stock,$19.50,-0.25,-1.266%,1559127180.00,United States,1986,112357,Transportation,Trucking Freight/Courier Services
MESA,Mesa Air Group Inc. Common Stock,$11.83,-0.27,-2.231%,420772871.00,United States,2018,228542,Transportation,Air Freight/Delivery Services
MRTN,Marten Transport Ltd. Common Stock,$17.69,0.08,0.454%,1464288618.00,United States,1986,86059,Transportation,Trucking Freight/Courier Services
PTSI,P.A.M. Transportation Services Inc. Common Stock,$60.04,-0.78,-1.282%,343725338.00,United States,1986,4294,Transportation,Trucking Freight/Courier Services
RLGT,Radiant Logistics Inc. Common Stock,$6.92,-0.18,-2.535%,345775370.00,United States,,107506,Transportation,Oil Refining/Marketing
ULH,Universal Logistics Holdings Inc. Common Stock,$25.50,-0.78,-2.968%,686446103.00,United States,,26405,Transportation,Trucking Freight/Courier Services
USX,U.S. Xpress Enterprises Inc. Class A Common Stock,$10.92,-0.29,-2.587%,544041389.00,United States,2018,91221,Transportation,Trucking Freight/Courier Services
VTOL,Bristow Group Inc. Common Stock,$25.81,-0.44,-1.676%,766827386.00,United States,,15905,Transportation,Transportation Services
YELL,Yellow Corporation Common Stock,$8.82,0.05,0.57%,452181273.00,United States,,373815,Transportation,Trucking Freight/Courier Services
