Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TH,Target Hospitality Corp. Common Stock,$3.0094,0.2194,7.864%,304660380.00,United States,2018,535658,Consumer Services,Hotels/Resorts
THRY,Thryv Holdings Inc. Common Stock,$25.1833,-1.0367,-3.954%,834263976.00,United States,,21887,Consumer Services,Advertising
TISI,Team Inc. Common Stock,$10.485,-0.445,-4.071%,323917792.00,United States,,98561,Consumer Services,Other Consumer Services
TITN,Titan Machinery Inc. Common Stock,$25.75,-0.50,-1.905%,580738900.00,United States,2007,37407,Consumer Services,Other Specialty Stores
TLYS,Tilly's Inc. Common Stock,$11.85,-0.25,-2.066%,357192820.00,United States,2012,61938,Consumer Services,Clothing/Shoe/Accessory Stores
TPCO,Tribune Publishing Company Common Stock,$17.48,-0.89,-4.845%,643166129.00,United States,,382120,Consumer Services,Newspapers/Magazines
TRTX,TPG RE Finance Trust Inc. Common Stock,$11.60,-0.30,-2.521%,891987904.00,United States,2017,101575,Consumer Services,Real Estate Investment Trusts
TSIA,TS Innovation Acquisitions Corp. Class A Common Stock,$10.04,-0.06,-0.594%,376500000.00,United States,2020,204160,Consumer Services,Diversified Commercial Services
UBA,Urstadt Biddle Properties Inc. Common Stock,$18.0599,0.0399,0.221%,727461242.00,United States,,74950,Consumer Services,Real Estate Investment Trusts
UBP,Urstadt Biddle Properties Inc. Common Stock,$14.58,-0.15,-1.018%,587289238.00,United States,,1133,Consumer Services,Real Estate Investment Trusts
UHT,Universal Health Realty Income Trust Common Stock,$68.67,-0.91,-1.308%,945675034.00,United States,,14566,Consumer Services,Real Estate Investment Trusts
UMH,UMH Properties Inc. Common Stock,$20.07,0.07,0.35%,850389121.00,United States,,130996,Consumer Services,Real Estate Investment Trusts
UVV,Universal Corporation Common Stock,$58.16,-0.13,-0.223%,1425784665.00,United States,,30956,Consumer Services,Farming/Seeds/Milling
VEC,Vectrus Inc. Common Stock,$51.54,-0.42,-0.808%,602748497.00,United States,2014,25030,Consumer Services,Diversified Commercial Services
VLGEA,Village Super Market Inc. Class A Common Stock,$25.085,0.185,0.743%,365057891.00,United States,,15063,Consumer Services,Food Chains
VSEC,VSE Corporation Common Stock,$44.62,-0.21,-0.468%,566297853.00,United States,,25237,Consumer Services,Military/Government/Technical
WIFI,Boingo Wireless Inc. Common Stock,$13.90,-0.01,-0.072%,621587108.00,United States,2011,398457,Consumer Services,Telecommunications Equipment
WINA,Winmark Corporation Common Stock,$199.25,2.88,1.467%,737369058.00,United States,,8121,Consumer Services,Other Specialty Stores
WLDN,Willdan Group Inc. Common Stock,$38.01,-1.58,-3.991%,465138139.00,United States,2006,20951,Consumer Services,Military/Government/Technical
WMK,Weis Markets Inc. Common Stock,$53.72,-0.22,-0.408%,1444984358.00,United States,,19834,Consumer Services,Food Chains
WOW,WideOpenWest Inc. Common Stock,$13.09,-0.40,-2.965%,1141437227.00,United States,2017,78189,Consumer Services,Television Services
WSR,Whitestone REIT Common Shares,$9.6591,-0.0909,-0.932%,410306204.00,United States,2010,78201,Consumer Services,Real Estate Investment Trusts
ZUMZ,Zumiez Inc. Common Stock,$44.45,-1.25,-2.735%,1138798732.00,United States,2005,55375,Consumer Services,Clothing/Shoe/Accessory Stores
