Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ARCH,Arch Resources Inc. Class A Common Stock,$48.62,-0.21,-0.43%,744708991.00,United States,2016,70484,Energy,Coal Mining
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$5.80,0.05,0.87%,737732270.00,United States,1999,214461,Energy,Coal Mining
BCEI,Bonanza Creek Energy Inc. Common Stock,$32.7494,0.4294,1.329%,1003606247.00,United States,2017,132487,Energy,Oil & Gas Production
BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests,$12.8599,0.0699,0.547%,1347441058.00,United States,2017,219939,Energy,Natural Gas Distribution
BRY,Berry Corporation (bry) Common Stock,$6.00,-0.05,-0.826%,482826132.00,United States,2018,165047,Energy,Oil & Gas Production
BTU,Peabody Energy Corporation Common Stock ,$3.82,-0.05,-1.292%,375602321.00,United States,2017,1498870,Energy,Coal Mining
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,$19.75,0.01,0.051%,747893909.00,United States,2012,70164,Energy,Oil Refining/Marketing
CDEV,Centennial Resource Development Inc. Class A Common Stock,$4.2301,0.1001,2.424%,1185100040.00,United States,2016,6093896,Energy,Oil & Gas Production
CLMT,Calumet Specialty Products Partners L.P. Common Units,$5.75,0.00,0.00%,452182185.00,United States,2006,58391,Energy,Integrated oil Companies
CPE,Callon Petroleum Company Common Stock,$34.988,0.628,1.828%,1614899095.00,United States,,847696,Energy,Oil & Gas Production
CRK,Comstock Resources Inc. Common Stock,$4.9045,-0.0255,-0.517%,1139860819.00,United States,,619982,Energy,Oil & Gas Production
CVI,CVR Energy Inc. Common Stock,$18.82,-0.21,-1.104%,1891985873.00,United States,2007,147463,Energy,Integrated oil Companies
DK,Delek US Holdings Inc. Common Stock,$21.08,-0.77,-3.524%,1557289153.00,United States,2017,272757,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,$37.97,-0.44,-1.146%,1649543468.00,United States,2012,24552,Energy,Natural Gas Distribution
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$14.22,-0.12,-0.837%,493146386.00,United States,,49663,Energy,Oil & Gas Production
DRQ,Dril-Quip Inc. Common Stock,$29.815,0.125,0.421%,1056309016.00,United States,1997,68854,Energy,Metal Fabrications
ESTE,Earthstone Energy Inc. Class A Common Stock,$6.96,0.05,0.724%,546697135.00,United States,,120467,Energy,Oil & Gas Production
FLMN,Falcon Minerals Corporation Class A Common Stock,$4.5444,0.0644,1.438%,391305482.00,United States,2017,112078,Energy,Oil & Gas Production
FTSI,FTS International Inc. Class A Common Stock,$22.75,-0.23,-1.001%,318271818.00,United States,2020,23919,Energy,Oilfield Services/Equipment
GEL,Genesis Energy L.P. Common Units,$9.255,-0.065,-0.697%,1134470663.00,United States,1996,145146,Energy,Natural Gas Distribution
GLP,Global Partners LP Global Partners LP Common Units representing Limited Partner Interests,$21.89,-0.25,-1.129%,743519680.00,United States,2005,49458,Energy,Oil Refining/Marketing
HCC,Warrior Met Coal Inc. Common Stock,$18.15,-0.46,-2.472%,932062867.00,United States,2017,252060,Energy,Coal Mining
HESM,Hess Midstream LP Class A Share,$22.33,0.13,0.586%,557602475.00,United States,2017,50059,Energy,Oil & Gas Production
HLX,Helix Energy Solutions Group Inc. Common Stock,$4.74,-0.03,-0.629%,714387706.00,United States,,416888,Energy,Oilfield Services/Equipment
HPK,HighPeak Energy Inc. Common Stock,$7.4701,-0.2199,-2.86%,692298226.00,United States,,26629,Energy,Oil & Gas Production
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,$10.05,-0.07,-0.692%,603825688.00,United States,2017,55672,Energy,Oil & Gas Production
LBRT,Liberty Oilfield Services Inc. Class A Common Stock,$10.49,-0.21,-1.963%,1883384618.00,United States,2018,242031,Energy,Oilfield Services/Equipment
LPI,Laredo Petroleum Inc. Common Stock,$35.8781,1.1781,3.395%,462815291.00,United States,2011,179943,Energy,Oil & Gas Production
MCF,Contango Oil & Gas Company Common Stock (TX),$3.76,0.16,4.444%,748792645.00,United States,,566443,Energy,Oil & Gas Production
NBLX,Noble Midstream Partners LP Common Units Representing Limited Partner Interests,$14.27,0.00,0.00%,1289471134.00,United States,,219575,Energy,Natural Gas Distribution
